epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias
42,0.007803,0.011050,0.028978,-0.052461,-0.043783,0.010263,0.030361,-0.030245,0.007913,-0.016175,0.008284,0.008925,0.031493,0.008874,0.031319,0.032742,-0.032804,0.034824,0.032533,0.009990,0.009374,-0.036194,0.027846,0.031470,0.010417,0.034597,0.036534,0.032147,-0.019313,0.038152,0.035072,0.030216
43,0.013509,0.006905,0.033849,-0.052461,-0.043783,0.005689,0.027242,-0.030245,0.008599,-0.016175,0.007072,0.009787,0.030369,0.004853,0.039308,0.035178,-0.032804,0.035633,0.029088,0.008496,0.009047,-0.036194,0.030277,0.034725,0.010978,0.032579,0.033807,0.030639,-0.019313,0.032790,0.028978,0.031005
44,0.008451,0.007743,0.037189,-0.052461,-0.043783,0.007292,0.033612,-0.030245,0.008140,-0.016175,0.006480,0.010236,0.030785,0.007493,0.034050,0.031634,-0.032804,0.031640,0.031356,0.008049,0.008682,-0.036194,0.028708,0.030333,0.010154,0.030857,0.029570,0.030160,-0.019313,0.026820,0.033248,0.034067
45,0.010537,0.009067,0.032236,-0.052461,-0.043783,0.009044,0.035436,-0.030245,0.007725,-0.016175,0.007661,0.005821,0.027424,0.010082,0.033545,0.035275,-0.032804,0.028707,0.032502,0.009838,0.007577,-0.036194,0.031244,0.031787,0.010178,0.033427,0.031257,0.031369,-0.019313,0.031142,0.031826,0.029571
46,0.007992,0.008462,0.025981,-0.052461,-0.043783,0.010419,0.028406,-0.030245,0.010939,-0.016175,0.010499,0.004879,0.029877,0.008291,0.028736,0.029987,-0.032804,0.030712,0.033469,0.010301,0.007575,-0.036194,0.034024,0.028707,0.006884,0.033169,0.031295,0.031148,-0.019313,0.027997,0.028678,0.030530
47,0.010859,0.005418,0.033301,-0.052461,-0.043783,0.007553,0.031377,-0.030245,0.009649,-0.016175,0.009177,0.003927,0.028065,0.009261,0.028686,0.030376,-0.032804,0.026003,0.031573,0.004211,0.010395,-0.036194,0.023190,0.028410,0.012129,0.036272,0.030161,0.026943,-0.019313,0.024987,0.027389,0.030362
48,0.005590,0.006719,0.029788,-0.052461,-0.043783,0.008650,0.030389,-0.030245,0.011421,-0.016175,0.010599,0.008376,0.027835,0.011917,0.028484,0.028223,-0.032804,0.028281,0.025703,0.005022,0.008314,-0.036194,0.025374,0.027795,0.009817,0.024019,0.026228,0.030539,-0.019313,0.032126,0.030486,0.027752
49,0.007648,0.010666,0.033516,-0.052461,-0.043783,0.011646,0.026433,-0.030245,0.010873,-0.016175,0.008725,0.007480,0.023606,0.008202,0.027427,0.025895,-0.032804,0.023805,0.027618,0.009840,0.012986,-0.036194,0.027490,0.030200,0.007212,0.025951,0.028160,0.024196,-0.019313,0.028470,0.025149,0.030503
50,0.007438,0.009598,0.030432,-0.052461,-0.043783,0.009379,0.029406,-0.030245,0.006663,-0.016175,0.007565,0.004319,0.032829,0.008137,0.030450,0.026550,-0.032804,0.029081,0.026892,0.006675,0.009254,-0.036194,0.033436,0.029435,0.007910,0.037629,0.029384,0.027138,-0.019313,0.027285,0.026975,0.030109
51,0.004182,0.003386,0.029642,-0.052461,-0.043783,0.005291,0.024393,-0.030245,0.007799,-0.016175,0.012684,0.007147,0.023450,0.007113,0.024823,0.025421,-0.032804,0.030792,0.026627,0.012222,0.009637,-0.036194,0.028103,0.028257,0.008921,0.029439,0.025641,0.031823,-0.019313,0.024140,0.029649,0.028748
