epoch_number,neuron1_connection1,neuron1_connection2,neuron1_connection3,neuron1_connection4,neuron1_connection5,neuron1_connection6,neuron1_connection7,neuron1_connection8,neuron1_connection9,neuron1_connection10,neuron1_connection11,neuron1_connection12,neuron1_connection13,neuron1_connection14,neuron1_connection15,neuron1_connection16,neuron1_connection17,neuron1_connection18,neuron1_connection19,neuron1_connection20,neuron1_connection21,neuron1_connection22,neuron1_connection23,neuron1_connection24,neuron1_connection25,neuron1_connection26,neuron1_connection27,neuron1_connection28,neuron1_connection29,neuron1_connection30,neuron1_connection31,neuron1_connection32
43,11.879474,12.065677,-8.276930,0.262048,0.279545,11.363027,-7.829617,0.105399,11.786903,-0.224159,11.510346,11.659369,-8.011144,12.109567,-8.394687,-7.861856,0.083077,-8.287582,-8.429370,11.816645,11.687304,0.365651,-7.784440,-8.277431,11.639737,-7.603537,-8.316791,-8.476564,-0.323222,-7.437151,-8.190066,-8.294692
44,12.074089,12.279655,-8.434205,0.262048,0.279545,11.576139,-7.996970,0.105399,11.987815,-0.224159,11.725595,11.872523,-8.162759,12.334691,-8.538116,-8.010867,0.083077,-8.429438,-8.587582,12.029026,11.885608,0.365651,-7.931898,-8.421968,11.840775,-7.748394,-8.449691,-8.624614,-0.323222,-7.571833,-8.340903,-8.458227
45,12.283147,12.494617,-8.573694,0.262048,0.279545,11.796899,-8.164725,0.105399,12.179020,-0.224159,11.937065,12.067493,-8.303142,12.539284,-8.674316,-8.157279,0.083077,-8.568159,-8.733868,12.236753,12.089767,0.365651,-8.086928,-8.565651,12.059186,-7.896059,-8.601560,-8.769041,-0.323222,-7.710588,-8.484551,-8.601413
46,12.485930,12.698726,-8.707166,0.262048,0.279545,12.005653,-8.297491,0.105399,12.396389,-0.224159,12.172198,12.261369,-8.453203,12.739534,-8.823581,-8.287916,0.083077,-8.718927,-8.882372,12.437016,12.303515,0.365651,-8.241021,-8.709426,12.247134,-8.041479,-8.752913,-8.923960,-0.323222,-7.860570,-8.626740,-8.756819
47,12.680557,12.886161,-8.861950,0.262048,0.279545,12.218642,-8.447104,0.105399,12.597744,-0.224159,12.371773,12.457382,-8.605325,12.942036,-8.971383,-8.432405,0.083077,-8.870730,-9.030895,12.624711,12.514282,0.365651,-8.364281,-8.873034,12.462388,-8.192941,-8.901664,-9.070535,-0.323222,-7.998623,-8.775236,-8.910018
48,12.865660,13.087088,-9.008196,0.262048,0.279545,12.417336,-8.592373,0.105399,12.800389,-0.224159,12.581955,12.667506,-8.759079,13.167406,-9.118198,-8.569732,0.083077,-9.017130,-9.170153,12.827318,12.717590,0.365651,-8.500917,-9.026286,12.659010,-8.306110,-9.044231,-9.230710,-0.323222,-8.158129,-8.925930,-9.050238
49,13.053948,13.286177,-9.153075,0.262048,0.279545,12.615124,-8.721320,0.105399,12.986184,-0.224159,12.755255,12.861052,-8.900487,13.352938,-9.261367,-8.708266,0.083077,-9.154595,-9.308875,13.042224,12.904212,0.365651,-8.638360,-9.180715,12.837700,-8.444633,-9.190273,-9.370591,-0.323222,-8.297451,-9.047204,-9.198301
50,13.264955,13.493798,-9.290774,0.262048,0.279545,12.800523,-8.863469,0.105399,13.175391,-0.224159,12.972492,13.048976,-9.058033,13.550262,-9.409627,-8.854012,0.083077,-9.321029,-9.449533,13.226993,13.092025,0.365651,-8.795099,-9.311279,13.035229,-8.609581,-9.349801,-9.519237,-0.323222,-8.445389,-9.192242,-9.339900
51,13.460563,13.687734,-9.436314,0.262048,0.279545,12.992160,-9.002457,0.105399,13.364936,-0.224159,13.185614,13.248967,-9.189119,13.755447,-9.549638,-8.983429,0.083077,-9.467853,-9.600789,13.424876,13.276862,0.365651,-8.927746,-9.445899,13.241875,-8.731230,-9.486406,-9.670163,-0.323222,-8.579648,-9.337641,-9.492944
52,13.678595,13.884349,-9.576385,0.262048,0.279545,13.189392,-9.142151,0.105399,13.552617,-0.224159,13.377556,13.449411,-9.335480,13.945347,-9.694267,-9.128556,0.083077,-9.591925,-9.763158,13.613291,13.481714,0.365651,-9.069637,-9.596479,13.435072,-8.860475,-9.616402,-9.803474,-0.323222,-8.721637,-9.490672,-9.628775
